記録対戦数,記録段位,記録点数,和了率,放銃率,ツモ率,ダマ率,流局率,流局聴牌率,副露率,立直率,和了巡数,平均和了,平均放銃,平均順位,飛び率,立直和了,立直放銃A,立直放銃B,立直収支,立直収入,立直支出,先制率,追っかけ率,追っかけられ率,立直巡目,立直流局,一発率,振聴率,立直多面,立直良形,最高段位,最高点数,最大連荘,裏ドラ率,痛い親かぶり率,痛い親かぶり平均,放銃時立直率,放銃時副露率,副露後放銃率,副露後和了率,副露後流局率,打点効率,銃点損失,調整打点効率,局収支,総計局数,和了時立直率,和了時副露率,和了時ダマ率
142,傑2,795/1400,0.2132,0.14880000000000002,0.3322,0.16949999999999998,0.1134,0.465,0.22469999999999998,0.177,12.119,6800,6196,2.514,0.1197,0.5755,0.1143,0.0816,3667,8238,8493,0.8653,0.13470000000000001,0.2082,9.070,0.102,0.21280000000000002,0.008199999999999999,0.7592,0.5592,傑2,1274/1400,3,0.3121,0.085,10762,0.1359,0.1942,0.1286,0.3344,0.1125,1449,922,527,-97,1384,0.4777837711069418,0.3524375234521575,0.16949999999999998
221,豪1,586/2800,0.2397,0.1436,0.3346,0.1035,0.1081,0.5451,0.3642,0.2034,11.998,6859,5757,2.371,0.0407,0.5207,0.1329,0.11109999999999999,3392,8562,7008,0.8321999999999999,0.1678,0.21789999999999998,9.641,0.1242,0.2552,0.0109,0.7015,0.4401,豪1,1515/2800,4,0.3096,0.1173,10164,0.1883,0.3642,0.1436,0.2993,0.1168,1644,826,818,225,2257,0.4418455569461828,0.45475619524405514,0.1035
178,傑3,1000/2000,0.2593,0.151,0.3004,0.1481,0.0875,0.4756,0.49310000000000004,0.1355,12.162,5942,5459,2.449,0.0787,0.5669,0.1457,0.1142,2716,6992,7165,0.8858,0.1142,0.22829999999999998,8.582,0.0472,0.1042,0.015700000000000002,0.748,0.4252,豪1,2113/2800,6,0.3125,0.1051,12354,0.1307,0.5336,0.1634,0.2922,0.10279999999999999,1541,824,717,138,1874,0.29623968376397997,0.5556645584265331,0.1481
732,士3,500/1000,0.2173,0.156,0.3102,0.13369999999999999,0.10310000000000001,0.47909999999999997,0.3675,0.1561,12.518,6133,5687,2.641,0.1025,0.5164,0.1431,0.10949999999999999,2927,7935,7068,0.8259000000000001,0.1741,0.21719999999999998,9.473,0.1121,0.1937,0.0052,0.7190000000000001,0.4457,傑3,1115/2000,6,0.3072,0.1042,11295,0.1432,0.3494,0.1483,0.2929,0.1073,1333,887,446,-184,7431,0.37096198803497465,0.49535549930971007,0.13369999999999999
176,傑3,1094/2000,0.25170000000000003,0.1764,0.3059,0.0594,0.09369999999999999,0.6074,0.5322,0.16210000000000002,12.344,5529,5795,2.608,0.1307,0.4752,0.156,0.11349999999999999,2471,7819,7000,0.7411,0.2589,0.1773,9.664,0.1277,0.1567,0.0355,0.7553,0.4286,傑3,1489/2000,4,0.37310000000000004,0.1297,10744,0.1433,0.4788,0.15869999999999998,0.3002,0.09179999999999999,1392,1022,369,-191,1740,0.3060386174016686,0.634749463647199,0.0594
540,傑3,1557/2000,0.19820000000000002,0.1291,0.3504,0.09939999999999999,0.12029999999999999,0.4104,0.2786,0.1928,12.265,7312,5397,2.439,0.0741,0.5415,0.1213,0.09359999999999999,3711,8626,6830,0.8423999999999999,0.1576,0.2053,9.627,0.11460000000000001,0.2257,0.022000000000000002,0.7985,0.48710000000000003,豪1,1850/2800,4,0.3122,0.1042,10529,0.1812,0.2896,0.13419999999999999,0.2657,0.121,1449,697,752,82,5430,0.5267467204843591,0.37348143289606456,0.09939999999999999
408,傑3,257/2000,0.2118,0.1341,0.3257,0.11960000000000001,0.1168,0.4236,0.30469999999999997,0.171,12.191,6603,5416,2.498,0.0613,0.5374,0.11710000000000001,0.0874,3381,8075,6836,0.8096,0.19039999999999999,0.2299,9.270,0.12269999999999999,0.25980000000000003,0.0127,0.6953,0.4147,豪1,1612/2800,4,0.3281,0.10859999999999999,10865,0.1493,0.295,0.1298,0.3104,0.1243,1399,727,672,-7,4145,0.4338781869688386,0.44654806421152027,0.11960000000000001
445,傑3,1100/2000,0.185,0.138,0.298,0.18469999999999998,0.1215,0.4065,0.25730000000000003,0.174,12.246,7504,5699,2.598,0.0787,0.4639,0.142,0.0989,2915,8686,6644,0.7288,0.2712,0.185,9.953,0.1305,0.2186,0.0101,0.6603,0.3435,傑3,1100/2000,4,0.3689,0.08839999999999999,10523,0.1789,0.2668,0.1431,0.2725,0.10800000000000001,1388,787,602,-107,4535,0.4363167567567567,0.37899594594594604,0.18469999999999998
661,豪1,714/2800,0.23829999999999998,0.1637,0.3486,0.041299999999999996,0.0913,0.6296,0.3494,0.2426,12.446,6909,5924,2.467,0.09380000000000001,0.5188,0.1424,0.1048,3103,8252,7125,0.7655,0.2345,0.2006,9.771,0.1097,0.23829999999999998,0.0085,0.7048000000000001,0.4412,豪1,1878/2800,6,0.34,0.105,11369,0.21109999999999998,0.3558,0.16670000000000001,0.2938,0.0943,1647,969,677,70,6801,0.5281614771296687,0.4307751573646665,0.04129999999999999
400,傑3,1292/2000,0.2224,0.17170000000000002,0.311,0.0533,0.106,0.5548,0.31579999999999997,0.23329999999999998,12.419,7345,5841,2.495,0.095,0.5,0.1461,0.1039,2941,8143,6788,0.7879,0.2121,0.19699999999999998,9.821,0.1255,0.2078,0.0108,0.7565000000000001,0.44909999999999994,豪1,1778/2800,4,0.32899999999999996,0.1176,10774,0.1985,0.3147,0.1711,0.2974,0.10869999999999999,1634,1003,631,35,3961,0.5245053956834532,0.4222973021582734,0.0533
