記録対戦数,記録段位,記録点数,和了率,放銃率,ツモ率,ダマ率,流局率,流局聴牌率,副露率,立直率,和了巡数,平均和了,平均放銃,平均順位,飛び率,安定段位,点数期待,立直和了,立直放銃A,立直放銃B,立直収支,立直収入,立直支出,先制率,追っかけ率,追っかけられ率,立直巡目,立直流局,一発率,振聴率,立直多面,立直良形,最高段位,最高点数,最大連荘,裏ドラ率,痛い親かぶり率,痛い親かぶり平均,放銃時立直率,放銃時副露率,副露後放銃率,副露後和了率,副露後流局率,打点効率,銃点損失,調整打点効率,局収支,総計局数,和了時立直率,和了時副露率,和了時ダマ率
189,豪2,2088/3200,0.2189999999999999,0.1157,0.3499,0.079,0.1369,0.491,0.2837,0.2382999999999999,12.254,6764.0,5418.0,2.397,0.0582,豪3.91,6.8 (163),0.4772,0.1162,0.083,3054.0,8324.0,6868.0,0.7718,0.2282,0.1805,9.719,0.1535,0.2173999999999999,0.0062,0.6577,0.4336,豪2,2320/3200,8.0,0.3217,0.1003999999999999,10344.0,0.2392999999999999,0.3248,0.1324,0.3101,0.1551,1481.0,627.0,854.0,201.0,2023.0,0.5192546118721463,0.40171401826484043,0.079
1967,豪1,1353/2800,0.2274,0.1553,0.3664,0.1155,0.1143,0.5695,0.439,0.1491,12.357,6525.0,5764.0,2.536,0.093,豪-0.11,-4.5 (299),0.5021,0.1329,0.1025,3413.0,8937.0,7292.0,0.7779,0.2221,0.1873999999999999,9.574,0.1341999999999999,0.2107,0.0109,0.8151999999999999,0.5342,豪2,2629/3200,6.0,0.3278,0.0994999999999999,10438.0,0.1276,0.4481,0.1586,0.2876,0.1278,1484.0,895.0,588.0,-13.0,20286.0,0.32921332453825863,0.555217238346526,0.1155
2231,聖3,3031/9000,0.2181,0.1193999999999999,0.3763,0.1444,0.1371,0.46,0.3034,0.1889,12.299,6857.0,5524.0,2.363,0.0681,聖3.80,2.4 (2510),0.5025,0.1349,0.1052999999999999,3166.0,8442.0,7277.0,0.7857999999999999,0.2142,0.2042,9.455,0.1433,0.2062999999999999,0.0059,0.7493000000000001,0.5271,聖3,5957/9000,6.0,0.3243,0.0941,10466.0,0.2133,0.3323,0.1308,0.3023,0.1456,1496.0,660.0,836.0,179.0,23233.0,0.4352235213204952,0.4205310408069693,0.1444
1460,聖1,3233/4000,0.2096,0.1032,0.3764,0.1558,0.1463,0.3851,0.312,0.1546,12.123,6330.0,5411.0,2.434,0.0567999999999999,聖1.25,0.8 (961),0.5251,0.1217999999999999,0.0971,3408.0,8228.0,6880.0,0.841,0.159,0.2067,9.398,0.1477,0.1825,0.0084,0.7561,0.5363,聖1,3744/4000,6.0,0.3218999999999999,0.1022,10542.0,0.1823,0.3409,0.1128,0.307,0.1459,1327.0,558.0,768.0,78.0,15464.0,0.38731135496183206,0.4569847328244275,0.1558
2553,傑2,503/1400,0.2594,0.1808,0.3555,0.0891,0.0997,0.6834,0.4968999999999999,0.1657999999999999,12.238,5848.0,5953.0,2.573,0.1018,豪-1.44,2.5,0.5015,0.1359,0.1041,2677.0,7497.0,7077.0,0.8011,0.1989,0.1882,9.127,0.1291,0.1881,0.0113999999999999,0.7190000000000001,0.4631,豪2,2768/3200,6.0,0.3178,0.1094999999999999,10389.0,0.1247,0.5146999999999999,0.1871999999999999,0.3081,0.0988,1517.0,1076.0,441.0,-91.0,26526.0,0.3205424055512719,0.590188473400154,0.0891
1162,聖1,2000/4000,0.2332999999999999,0.1271,0.3652,0.149,0.1296,0.4681,0.3565,0.163,12.159,6350.0,5364.0,2.394,0.0584999999999999,聖2.27,4.0 (499),0.5206000000000001,0.1299,0.0943,3425.0,8371.0,6478.0,0.7909,0.2091,0.1966,9.392,0.1349,0.2264,0.0075,0.77,0.5489,聖2,4632/6000,6.0,0.3324,0.0989,10396.0,0.1666,0.3871,0.1381,0.3188,0.1268,1481.0,682.0,799.0,152.0,12230.0,0.36372824689241345,0.487150450064295,0.149
2398,魂1,9.0/20.0,0.2288,0.1101999999999999,0.3666,0.1261999999999999,0.1392,0.3834,0.3468,0.1724,12.056,6205.0,5409.0,2.379,0.0542,聖3.90,2.5,0.5256000000000001,0.1357,0.1046,3202.0,7977.0,6630.0,0.8217,0.1783,0.209,9.267,0.1318,0.2039,0.0044,0.785,0.5325,魂1,10.0/20.0,5.0,0.3349,0.107,10449.0,0.2123,0.38,0.1208,0.3152,0.1444,1420.0,596.0,824.0,143.0,25169.0,0.3960377622377622,0.4777594405594406,0.1261999999999999
1027,豪2,1224/3200,0.2309,0.1556,0.358,0.1796,0.1141,0.5324,0.347,0.1646999999999999,12.607,6633.0,5751.0,2.5,0.0876,豪0.87,-4.5 (274),0.5029,0.1354,0.0974,3219.0,8555.0,7011.0,0.7581,0.2419,0.1861,9.998,0.1278999999999999,0.2198999999999999,0.0052,0.7959999999999999,0.5710999999999999,豪2,2355/3200,6.0,0.3013,0.1039,10455.0,0.1433,0.3567,0.16,0.3071,0.12,1531.0,895.0,636.0,42.0,10539.0,0.35871645734083996,0.46151450844521436,0.1796
412,豪2,1004/3200,0.2067999999999999,0.1195,0.3243999999999999,0.1785,0.1365,0.3912,0.2699,0.1717,12.414,6667.0,5830.0,2.493,0.0630999999999999,豪2.02,0.1,0.5108,0.123,0.0905,3179.0,8356.0,7986.0,0.8162,0.1838,0.1905,9.598,0.1419,0.1957999999999999,0.0121999999999999,0.8027,0.4743,豪3,1926/3600,4.0,0.291,0.0953,10530.0,0.1767,0.3087,0.1367,0.3044,0.135,1378.0,697.0,682.0,16.0,4309.0,0.4241023210831723,0.39728027079303685,0.17850000000000002
776,豪1,745/2800,0.2351,0.1485,0.3827,0.0722,0.1289,0.4918,0.2916,0.2312999999999999,12.237,6200.0,5815.0,2.519,0.0941,豪0.09,-3.7 (202),0.4924,0.1543,0.1219,2683.0,7910.0,7384.0,0.8447,0.1553,0.2044,9.438,0.1451,0.1796,0.0151,0.7256999999999999,0.4886999999999999,豪2,2711/3200,5.0,0.3122,0.1018999999999999,10676.0,0.2403,0.2975,0.1515,0.3572999999999999,0.1181,1458.0,864.0,594.0,-56.0,8014.0,0.4844411739685238,0.4431675031901318,0.0722
